Researcher,Title,Institution,Year,Length,Per_annum_budget,Field,Keywords
??? ??? ???????,???? ?????? ?? ??????? ?-postrhinal ?? ?????? ?????? ????? ??????????,Technion,2013,5,370000,Neurobiology,"hippocampus, cognitive map, place cells, boundary cells, grid cells, head-direction cells, border cells, medial entorhinal cortex"
??? ??? ???????,"???? ???????? ??????????? ????-?????????? ??-VTA ?? ????? ??????????, ??????? ???? ?????? ???? ?? ??? ????",Technion,2021,5,270000,Neurobiology,"hippocampus, optogenetics, chemogenetics, ventral tegmental area, place cells"
???? ?????,????? ????? ???????? ??????????? ??????? ?????? ??????? ?? Penicillium digitatum ?-Penicillium italicum ?? ??? ???,Volcani Centre,2003,3,163000,Microbiology, 
???? ?????-????,???? ??????? ???????? ????: ???? ??? ??????? ?????? ???,Hadassah Hospital,2007,3,249000,Medicine - Metabolic and Endocrine Systems,"Aging, Osteoporosis, Osteoblasts"
???? ?????-????,SIRTUIN 1 - ????? ??? ?????? ????? ??? ?????? ??????? ??????????????,Hadassah Hospital,2010,4,234000,Medicine - Cytoskeleton & Support Systems,"Aging, Osteoporosis, Osteoblasts, sirtuin 1, sclerostin"
???? ?????-????,???? ????????: ?????? ????? ?????? ???????? ????????? ??? ???? ????-????????????,Hadassah Hospital,2021,5,270000,Molecular Medicine & Human Physiology,"mice, metabolic status, transcriptome profiling , Menopause, ovariectomy"
???? ?????-????,?????? ?? ???????? 1 ?? ???? ????? ??? ????: ??????? ?? ????,Hadassah Hospital,2016,4,272000,Medicine - Metabolic and Endocrine Systems,"osteocyte, Sirtuin1, bone marrow fat, brown adipocytes"
???? ??????,????? ????? ?? ??????? ????????? ?? ?????????? ???????????? ?????? ???? ???,Hebrew University,2020,5,280000,Medicine - Cancer & Oncology,"DNA methylation, Hepatitis C Virus, hepatocellular carcinoma, Cancer methylome, chromatin interactions, hepatitis, Distal Regulatory Enhancers, liver carcinogenesis, cancer epigenetics"
???? ??????,????? ????? ?? ??????? ????????? ?? ?????????? ???????????? ?????? ???? ???,Hebrew University,2020,5,38000,Medicine - Cancer & Oncology,"DNA methylation, Hepatitis C Virus, hepatocellular carcinoma, Cancer methylome, chromatin interactions, hepatitis, Distal Regulatory Enhancers, liver carcinogenesis, cancer epigenetics"
???? ?????,???? ??? c-Abl ?-Mdmx: ?????? ?? ???? ?-p53,Hebrew University,2005,4,277000,Cell Biology,"phosphorylation, cancer, p53, mdmx, mdm2, c-abl"
????? ???,????? ???????? ?????? ?? ??????? ????? ???????? ???????? ??????? ????? ???????? ?? ?????? ????? ?????? ??????? ?????,Bar Ilan University,2003,3,207000,Biophysics , 
????? ???,?????? ?? ??????????? ??????? ??? ??????? ?????? ???? ?????? ?? ???????? ?????? ???????? ????? ?? ??????,Bar Ilan University,2006,4,225000,Biochemistry,"FRET, protein folding, protein folding, kinetics, time resolved spectrosocopy, fluorescence spectroscopy"
????? ???,????? ??????????? ?? ??????? ?????? ????????? ????? ?? ????? ?????? ?? ????? ????????,Bar Ilan University,2010,4,218000,Biochemistry,"protein folding, protein folding, kinetics, fluorescence spectroscopy, time resolved FRET spectroscopy"
???? ?????,????? ??????? ?? ????? ???????? ???? ??????? ??????? ??????????? ?? ???? ?????? ????? ??-??? ?????? ????? ?????? ???? ??????? ?????-????????,Hebrew University,2012,4,281000,Ecology,"predation risk, stress physiology, predator-prey interactions, Phenotypic plasticity, trophic dynamics, ecosystem function, ecological stoichiometry, foraging behavior, elemental cycling"
???? ?????,????-????- ????? ???????? ?? ?????? ????????? ??????? ,Hebrew University,2019,5,300000,Ecology,"detritivores, macro-invertebrates, biological soil crust, desert ecology, litter decomposition, desert isopods"
???? ?????,????-????- ????? ???????? ?? ?????? ????????? ??????? ,Hebrew University,2019,5,38000,Ecology,"detritivores, macro-invertebrates, biological soil crust, desert ecology, litter decomposition, desert isopods"
??? ?????,?????? ???????? ?? ????? ???? ????????,Ben Gurion University,2015,4,450000,Animal Science,"species diversity, community ecology, Evolutionary ecology, local adaptation, species interactions, host-parasite interactions, Coevolution, disease ecology, diffuse evolution, dilution effect, geographic mosaic"
???? ????,????? ??????? ????? ?? ????? ??????: ????????? ???????? ?? ?????? ?????? ???,Tel Aviv University,2013,5,232000,Ecology,"Recombination, antibiotic resistance, mathematical model, evolvability, computer simulations, mutator, fitness associated variation, stress induced mutagenesis, stress induced hypermutation, modifier model, evolution of altruism, adaptive landscape, evolution of sex, intraorganismal variation and selection"
???? ????,????????? ???????? ?? ????? ???? ????? - ????? ???????,Tel Aviv University,2008,4,210000,Ecology,"stress, Recombination, dispersal, fitness, evolutionary models, sex, outcrossing, genetic mixing, genetic modifiers"
???? ????,???????? ???????????? ???????????: ?????? ?? ????? ????? ????????,Tel Aviv University,2018,5,240000,Ecology,"altruism, evolvability, stress-induced variation, Evolution of cooperation, rugged fitness landscape, evolution of helping, evolution of parental care, host-microbiome coevolution"
???? ????,???????? ???????????? ???????????: ?????? ?? ????? ????? ????????,Tel Aviv University,2018,5,38000,Ecology,"altruism, evolvability, stress-induced variation, Evolution of cooperation, rugged fitness landscape, evolution of helping, evolution of parental care, host-microbiome coevolution"
???? ???,"?????? ???????????? ?? ??????? ????? ??????? ??????? ??????????: ?????? ?? ?????????, ????? ????? ??",Hebrew University,2018,4,270000,Microbiology,"degradation, degradation, white rot fungi, Small- secreted-proteins, Pleurotus, lignin modifying enzymes"
???? ???,??????? ????? ???????????? ?? ?????? ?????? ?? ??? ?????? ????? ???,Hebrew University,2009,4,117000,Microbiology,"humic substances, white rot fungi, lignin degrading enzymes"
???? ????????,????? ????? ??????? ?? ???? ??????? ???????? ???,Tel Aviv University,2009,3,117000,Medicine - Blood & Respiratory Systems,"Heart, caloric restriction, Cardioprotection, Ischemia-Reperfusion, LAD ligation, Myocardial Infarct"
???? ?????,??????? ?????? ?????? ?? ????? (????????) ????? ?????? ?? ?????? MMTV ???????? ?????? ???,Hebrew University,2004,4,132000,Medicine - basic research,"Lymphoma, nucleolus, tumor biology, Mouse Mammary Tumor Virus (MMTV)"
?????? ?????,???? ?????? ?????? ??????? ?? ????? ???? ??????,Hebrew University,2002,4,0,Zoology, 
?????? ?????,???? ?????? ?????? ??????? ?? ????? ???? ??????,Hebrew University,2006,4,292500,Neurobiology,"Octopus, motor control, motor program, muscular hydrostat, movement primitives, neuromuscular system, invertebrate, cephalopods"
?????? ?????,????? ????? ?????? ???????? ???? ?????? ????? - ??????,Hebrew University,2011,4,195000,Neurobiology,"learning and memory, Learning and memory, Octopus, synaptic plasticity, ltp, reinforcement learning, The matching law, cephalopods, Operant Conditioning, neuromodulators"
?????? ?????,????? ?????????? ?? ?????? ????? ?????? ????? ???? ?? ?????? ????? ??????? ???????,Hebrew University,2015,4,300000,Neurobiology,"learning and memory, Learning and memory, Octopus, synaptic plasticity, ltp, reinforcement learning, invertebrates learning and memory, cephalopods, Learning and Memory Network, neuromodulators"
?????? ?????,??????? NO ??????? ?? '??? ????????' ?????? ?? ????? ???????? ???????? ?????-???? (LTP) ?????? ?????? ?? ??????,Hebrew University,2021,4,270000,Neurobiology,"neuronal plasticity, learning and memory, synaptic plasticity, ltp, nitric oxide,, invertebrates learning and memory"
???? ????????,?????? ?????? ???-?????,Hebrew University,2012,4,213000,Neurobiology,"vision, perceptual learning, perception, attention, visual perception, Attentional blink, binocular rivalry, Reverse Hierarchy Theory, change blindness, unconscious perception, perception and consciousness, RSVP"
???? ????????,????? ?????? ????? ?????,Hebrew University,2007,4,172000,Neurobiology,Vision guided search reverse hierarchy rsvp pop-out perceptual learning tms
????? ??????,??????? ????? ???????? ??????? ???????? ???? ??????? ???????,Tel Aviv University,2002,4,0,Immunology, 
???? ??????,????? ?????? ???????? ????? - ?????? ???????????? ?????????? ?? ???? ????? ???? ????????? ?? ????,Tel Aviv University,2011,4,288600,Animal Science,"hydrodynamics, Computational Fluid Dynamics, Particle image velocimetry, suction feeding, larval fishes, animal biomechanics"
???? ??????,????? ???????????? ?? ?????? ??????????? ???????????? ????? ???? ?????? ?? ????,Tel Aviv University,2015,4,247000,Ecology,"hydrodynamics, mass transfer, starvation, real-time PCR, larval fishes, animal biomechanics, critical period, AgRP1"
???? ???????,??????? ????? ??????? CREB ???????? ?????? ?????? ?????? ???????,Hebrew University,2004,3,242000,Cell Biology,"metastasis, Hypoxia, hypoxia, hypoxia, Hypoxia, hypoxia, creb, tumor progression, in-vivo imaging. DNA microarray"
?'??? ? ???????,????? ?????????? ????? ????????? ?? ???? ?????? - ??? ????? ?????? ????? ???????,Tel Aviv Sourasky Medical Center,2009,3,195000,Medicine - Biomedical Engineering,"accelerometers, Aging, gait, Parkinson´s Disease, algorithm development, falls, ambulatory monitoring"
?'??? ? ???????,?????? ?? ????? ????????? ?????? ??? ???????? ?? ??????? ????? ????????,Tel Aviv Sourasky Medical Center,2017,3,250000,Medicine - Neurological & Psychiatry,"Parkinson's disease, fnirs, gait, Executive function, functional near infra red spectroscopy, dual tasking"
????? ?????,????? ????? ?????? ???? ????? ????? ??????? ???? ?????? ?????? ????????? ?? GPCR ,Hebrew University,2012,4,174000,Medicine - Neurological & Psychiatry,"chemokine, Multiple Sclerosis, peptides, GPCR, permeability, dimerization, pharmacokinetics, bioavailability, Peptide chemistry, transmembrane, demyelinating disease, alpha helix, drug lead, CCR2"
????? ?????,????? ??????? ????????? ???? ??? ?????? ?? ??????? ????? ????? ???? ???? ????,Hebrew University,2008,4,140000,Medicine - Metabolic and Endocrine Systems,"peptides, peptide synthesis , Oral bioavailability, combinatorial chemistry, intestinal absorption, enzymatic stability, cell peterating peptides transcellular"
?'?? ?????,?????? ?? ??? ????????? ????????????? ?? ??????? ??????? ???? ????? ?????? ????? ?????,Ariel University,2021,3,270000,Molecular Medicine & Human Physiology,"neurogenesis, Aging, neuroinflammation, brain health, androgen (testosterone), anabolic steroids, ergogenic aids"
?????? ??????,"????? ????? ?-MAP ????? ?????? ?""? ??? ??????? ??????? ???? ?????",Technion,2017,4,220000,Microbiology,"MAPK, signaling, Signaling, Signaling, signaling, fungal, maize, corn, Cochliobolus, plant phenolic, protein phosphatase"
?????? ??????,"????? ????? ?-MAP ????? ?????? ?""? ??? ??????? ??????? ???? ?????",Technion,2017,4,0,Microbiology,"MAPK, signaling, Signaling, Signaling, signaling, fungal, maize, corn, Cochliobolus, plant phenolic, protein phosphatase"
?????? ??????,"????? ?????? ?????? ??????? ??????? ?????? ?´? ????? ???? ??????, ????? ???? ?????.",Technion,2008,4,193000,Microbiology,"maize, signal transduction, phenolic, necrotroph, small molecule signals, redox sensitive transcription factor, ChAP1, Cochliobolus heterostrophus, Ascomycete"
?????? ??????,"???? ????? ???? ?????? ???? ???? ?????? ???? ??????, ????? ?????",Technion,2004,4,220000,Microbiology,"stress, plant, MAPK, signaling, Regulation, Signaling, Signaling, signaling, fungal, maize, light , virulence, pathogen, corn"
?????? ??????,"??? ??????? ????? ??????? ??????? ?""? ?????? ??????? ?????",Technion,2013,4,202000,Microbiology,"plant, fungal, maize, signaling pathways, signal transduction, phenolic, pathogen, aromatic, necrotroph, YAP1, Cochliobolus, Dothideomycetes"
???? ???????,?????? ??????? ?? ??????????????? ?????? ???????? ???? ????????: ?????? ??????? ???? ?????? ??????,Tel Aviv University,2013,4,329000,Medicine - Genetics,"Gaucher disease, glucocerebrosidase, lysosomal enzymes"
???? ???????,??? ????? ????????? ????? ????: ??????????????? ??????????,Tel Aviv University,2002,3,0,Molecular Biology, 
???? ???????,?????? ?? ?????? ????? ?? ???????? ???????? ?? ??????????????? ????????????? ????,Tel Aviv University,2006,4,247500,Medicine - Genetics & Oncology,"Gaucher disease, glucocerebrosidase, Lysosomal diseases"
???? ???????,?????? ?? ?????? ?? ??????? ??? LRRK2 ?? ????? ???? ???????? ????? ??????? ?-GBA1,Tel Aviv University,2021,4,270000,Medicine - Genetics,"Gaucher disease, glucocerebrosidase, ambroxol, arimoclomol, gd-associated parkinson's disease"
???? ???????,??? ??????? ?????? ??????,Hebrew University,2006,4,135000,Animal Science,"gene expression, gene expression, Heat acclimation, microarray"
???? ???????,?????? ??????? ?????? ?? ???? ???????? ???????????? ?????? ??,Hebrew University,2004,3,198000,Biochemistry, 
????? ???????,????? ????????? ?????? ??????? ?? ??? ?????? GroEL,Weizmann Institute,2005,3,251000,Biochemistry,"chaperonins, GroEL, allostery, protein folding, protein folding"
????? ???????,????? ???? ????-?????? ???????? CCT,Weizmann Institute,2008,4,245000,Biochemistry,"GroEL, allostery, chaperonin, CCT, cooperativity"
????? ???????,??? ???? ????-?????? ????????? ?? ?????? ???? ???????? CCT,Weizmann Institute,2012,4,240000,Biochemistry,"chaperonins, allostery, CCT, kinetics"
????? ???????,????? ?????? ?????? ?? ??????? ??????? ????? ?? ???????? GroEL ,Weizmann Institute,2020,3,260000,Biochemistry,"chaperonins, GroEL, protein folding, kinetics, protein stability"
??? ?????????,??????? ?? ???????? ?????? ?????? ???? ?????,Weizmann Institute,2016,5,356550,Medicine - Neurological & Psychiatry,"miRNA, microRNA, microRNA, microRNA, microRNA, microRNA, microRNA, microRNA, stress granule, Dicer, AGO2, MicroRNA, microRNA, MicroRNA"
??? ?????????,"???????""?-7 ???? ??? ??? ?? ???6 ???????? ????? ??????????",Weizmann Institute,2012,4,174000,Medicine - Metabolic and Endocrine Systems,"diabetes, pancreas, miRNA, microRNA, microRNA, microRNA, microRNA, microRNA, microRNA, microRNA, MicroRNA, microRNA, MicroRNA, Beta cell, Endocrine, miR-7"
??? ?????????,???????´´? ???????? ?????? ?????????????,Weizmann Institute,2007,4,228000,Molecular Biology,"differentiation, non-coding RNA, miRNA, microRNA, microRNA, microRNA, microRNA, microRNA, microRNA, microRNA, MicroRNA, microRNA, MicroRNA, bone, patterning, 
Development, posttranscriptional, cranium, organogenesis
craniofacial, cranial, Skull, intramembranous, dentary, dermal"
?????? ?????-?????,???????? ?? ?????? ????? ????? ??????????? ?????,Tel Aviv University,2006,4,270000,Animal Science,"molecular evolution, phylogeny, sponges, Porifera, Metazoa, monophyly, Demospongiae, new nuclear genes, mitochondrial genes, molecular dating."
?????? ?????-?????,????? ????? ?????? ???????? ???????????????? ?? Myxozoa,Tel Aviv University,2010,4,234000,Animal Science,"molecular evolution, phylogeny, myxozoa, phylogenomics, Complete mitochondrial genome, ESTs, Systematic Biology"
?????? ?????-?????,"????????? ?????????? ?? ???????????? (?????????): ??????? ?????????????, ?????, ??????? ???????",Tel Aviv University,2015,4,236000,Animal Science,"molecular evolution, whole genome duplications, phylogeny, tunicates, phylogenomics, Next Generation Sequencing, Ascidians, Aplousobranchia, Complete mitochondrial genomes, Barcoding"
?????? ?????-?????,????? ????? ??????????? ?? ???????? ??????? ???????????? ? Heneguya salminicola (?????????),Tel Aviv University,2020,5,257000,Animal Science,"Genome evolution, cnidaria, mitochondrial genome, mitochondrial evolution, myxozoa, phylogenomics"
????? ?????,???? ????? ?????? ???????????? ?? ???? ???? ????-???????? ,MIGAL Galilee Research Institute,2019,5,290000,Computational & Systems Biology,"Wheat, domestication, evolutionary genomics, plant genomics, selective sweeps"
???? ????,?????? ?????? ?????????? ?? ????? ????? Kv7.2-3,Tel Aviv University,2016,3,217000,Signal Transduction,"electrophysiology, Crystallography, epilepsy, electron microscopy, calmodulin, potassium channels, PIP2, calcium regulation, biophysical solution methods, neuronal firing, hydrogen-deuterium exchange mass spectrometry"
???? ????,??????? ???? ?? ????? ???? ?????? ???,Tel Aviv University,2020,5,295000,Signal Transduction,"electrophysiology, signal transduction, small g proteins, biochemistry, structural biology, calcium channels, G-protein coupled receptors (GPCR)"
???? ????,"????? ???? ???????? ????? ????? G ?? ????? ???? ?????? ??? (CaV2): ????? ???????, ??????????, ?????",Tel Aviv University,2012,4,275000,Biochemistry,"electrophysiology, protein-protein interactions, voltage-dependent calcium channels, heterotrimeric G protein"
???? ????,????? ?? ????? ???? ?????? ???: ?????? ?? ?? ????? ??? ???????????? ??? ?? ????1,Tel Aviv University,2004,4,330000,Biochemistry,"ion channels, calcium signaling, structural biology"
????? ???????,???????????? ????? ?????? ??????? ?????? ????? ???? ????? ???? ??? – ????? ????????? ?????????,Shiba Medical Centre,2012,4,140400,Medicinal Chemistry & Theranostics,"Oral Lichen Planus, Oral Cancer, Aneuploidy, Chromosomal instability, ploidy"
????? ???????,"????? ???????? ????????, ???? ?????????? ???? ?????? ????? ?? ???? ??? ???",Tel Aviv University,2016,3,217000,Medicine - Cancer & Oncology,"Oral Cancer, nanospheres, Early Detection of Cancer, Nanoconjugates, Gold Nano Rods, Mouth Neoplasms"
???? ???????,??? ???????? ????????? ?? ?????? ????? ??????????? ???????,Hebrew University,2018,4,340000,Plant Science,"Tomato, plant metabolism, Carotenoid cleavage dioxygenase (CCD), Apocarotenoids, Plant volatiles, Fruit ripening"
???? ???????,????? ???????? ?????????? ????????????? ?? ?????????? ???? ?? ??? ????? ?????? nxd1 ??????? ?????? ?????? ?????????? ??????,Hebrew University,2009,4,234000,Plant Science,"photosynthesis, Carotenoid Biosyntesis, Abscisic acid (ABA) biosynthesis neoxanthin, tomato genetics"
???? ???????,????? ???-??????????? ????? ?? ????????? ?? ??????????? ?????? ???? ????????,Hebrew University,2013,5,313000,Plant Science,"Gene regulation, gene regulation, plant metabolism, Solanum lycopersicum, phytoene synthase"
???? ???????,????? ??????? ?? ???? ????????? ??????? ?????? ??????????? ??????,Hebrew University,2005,4,273000,Botany,"Tomato, Gene regulation, gene regulation, metabolic pathways, Caroteneoids, map-based cloning"
???? ???????,?????? ????? ???? ?? ?????????? ??????? ?? ??????? ??????? ?? ?????? ER-Stress,Tel Aviv University,2005,4,185000,Cell Biology,"endoplasmic reticulum, ERAD, ERAD, misfolded proteins, live cell imaging, upr, ER-stress, Protein aggregates, aggresomes, transmembrane proteins"
???? ???????,???? ??????? ??? ??????????? ?? ??????? ??????  ??????? ???????? ?????'?,Tel Aviv University,2002 ???????,,0,Cell Biology, 
???? ???????,???? ????? ??????? ?? ??? ??? ?? ??? ?????? ??????? ????? ????? ?? ????????? ??????????? ????????? ?????'?,Tel Aviv University,2012,3,174000,Cell Biology,"endoplasmic reticulum, Super resolution microscopy, membrane, Golgi apparatus, ER exit site, COPII, COPI, Fluorescent proteins"
???? ???????,????? ???? ??? ??????? ?????? ?? ???????????? COPII ????? ????? ?? ????????? ???????????,Tel Aviv University,2016,3,217000,Cell Biology,"endoplasmic reticulum, frap, Secretory transport, ER exit sites, membrane domains, COPII, Fluorescent proteins, live cell microscopy"
???? ????,???? ??????? ??????????? ?? ??????? ???? ?????????? ???? ??? ?????? ????????,Hebrew University,2021,5,270000,Molecular Medicine & Human Physiology,"diabetes, insulin secretion, maturation, pancreatic beta cells, mtor signaling, nutrient-sensing"
??? ????,???? ???????? ????? ?????? ????????,Hebrew University,2016,4,272000,Medicine - Genetics,"Disease regulatory networks, Cis-acting regulatory elements, Enhancer Malfunction, Epigenetic therapy, Regulatory mutations, Cancer methylome"
??? ????," ?????? ?? ?????? ???-?????? ?????? ???""? ?????????? ?? ???? ?????? 2 ??? ?????? ?????? ?????? ???? ",Hebrew University,2012,4,250000,Molecular Biology,"Epigenomics, DNA methylation, Common human diseases, Type-2 Diabtes, Distal control elements, Epigenetic variations"
??? ????,???? ????????: ??-??????? ???????? ????? ?????? ????? ????,Hebrew University,2008,3,245000,Molecular Biology,"Epigenomics, DNA methylation, Epigenomic, epigenetic variation, methylome, complex human diseases"
??? ????,?????? ?????????? ???????????? ?? ???? ??????? ??? Paenibacillus vortex ???? ?????????????? ??????? ?????????,Hebrew University,2010,4,214000,Microbiology,"root, secondary metabolites, rhizosphere, plant growth-promoting rhizobacteria, Two component signal transduction, phytopathogens, Paenibacillus."
??? ????,"????? ??????? ?????????? ?????????? ???????? ??????????? ??? ???? ??????? ??????? ?""? ?????? ??????",Hebrew University,2017,3,250000,Microbiology,"swarming, paenibacillus, microbial interactions, volatiles, surface motility"
??? ??????,"????? ??????? ?? ????????? ?????? ?????? ????? ??""? ?? ????? ",Tel Aviv University,2013,4,231000,Medicine - Genetics,"GWAS, population genetics, SNPs, association studies, Heritability, rare variants, sequencing, SNVs, MNVs, statistical genetics."
???? ???,????????? ????????? ???????? ?? ??????? ???? ??????? ????? ?????,Hebrew University,2002,3,0,Zoology, 
??? ????,????? ??? ??-??? ?????? ???? ??? ?????? ???? ????? ????? ???????? ??? IL7RA,Bar Ilan University,2019,4,250000,Medicine - Genetics,"Gene Therapy, Homologous recombination, genetic diseases,  cell therapy, regenerative medicine,  genome editing,  crispr,  precision medicine, severe combined immunodeficiency, hematopoietic stem and progenitor cells (hspcs)"
???? ????,???? ?????????? ?? ?????? ?????????????? ??????? ?? ?????? ??????? ?????? ?????,Tel Aviv University,2018,4,230000,Biochemistry,"cancer, signal transduction, tgf-beta, endocytosis, oligomerization, frap, Receptors, fluorescence recovery after photobleaching, lateral diffusion, fluorescent imaging, Transforming growth factor-beta receptor superfamily, activin, membrane protein interactions, fluorescence photobleaching recovery, FPR"
???? ????,???????? ???????? ?????? ??????? ?-TGF-beta: ????? ????????? ??? ???????? ?????? ?????? ????? ?''? Ras ????????,Tel Aviv University,2005,4,246000,Biochemistry,"Ras, oncogenesis, Ras, Ras, Ras, Ras, Ras, signal transduction, endocytosis, TGF-beta receptors, fluorescence recovery after photobleaching (FRAP), lateral mobility in membranes"
???? ????,"???????? ???????? ?????? ??????? ?-TGFbeta: ????? ????????? ??? ???????? ?????? ?????? ????? ?""? ????? ??? ?? Ral",Tel Aviv University,2009,4,253000,Biochemistry,"Ras, signaling, Ras, Signaling, Ras, Ras, Signaling, Ras, signaling, Ras, trafficking, tgf-beta, endocytosis, frap, Receptors"
???? ????,???? ?????????? ?? ???????? ???????? ????? ????? ??-??? TGF-beta: ????????????? ?????? ?? ?????? TGF-beta ???? I ?-II,Tel Aviv University,2013,4,290000,Biochemistry,"cancer, signal transduction, tgf-beta, endocytosis, oligomerization, frap, Receptors, fluorescence recovery after photobleaching, membrane dynamics, lateral diffusion, fluorescent imaging"
?????? ?????,"?????? ???? ?????: ????????? ?????? A ???? ????? ????????? ?????? ?????? ?""? ?????? ?????? ????????? ????????",Hebrew University,2013,4,242000,Microbiology,"quorum sensing, virulence, ER-stress, Group A Streptococcus, streptolysin S, streptolysin O, asparagine, asparagine synthetase, asparaginase."
?????? ?????,????? ??????? ?????? ??????? ???? ??????????? ????????? ???? ????? ??????,Hebrew University,2009,4,273000,Microbiology,"Gene regulation, quorum sensing, gene regulation, bacterial pathogenesis, virulence, Group A Streptococcus, group C/G streptococci, M protein."
?????? ?????,???? ?????? ??????? ?? ?????? ????????? ?????? ??-??? ??? ????? ?????? sil,Hebrew University,2005,4,299000,Microbiology,"quorum sensing, Group A Streptococcus, Streptococcus pyogenes, invasive infection, necrotising fasciitis, competence-stimulating peptide"
?????? ?????,?????? ??????????? ?????? ???? ??? ?? ???? ???????????? ?? ?????? ????? ?? ???????? ?????? ,Hebrew University,2017,4,300000,Microbiology,"metabolism, ER stress, upr, virulence, Group A Streptococcus, asparagine uptake"
????? ????,????? ????? ?? ??????? ??????? ??????? ?????? ???? ???? ????? ?????? ????? ?? ??????? ?????-???????,Hebrew University,2019,5,300000,Developmental Biology,"Aging, physiology, tissue aging, age-related disease, fish model system"
????? ????,????? ????? ?????? ?? ???????? ??????,Technion,2005,4,273000,Cell Biology,"nuclear pore complex, Xenopus laevis, importin beta, NPC, nuclear assembly, Nup107-160"
????? ????,????? ?????? ?? ????????????? ??? ??????????? ?? ???????? ??????,Bar Ilan University,2015,4,350000,Cell Biology,"nuclear pore complex, cerebellar atrophy, nuclear transport, nucleoporins, Nup214, Nup358, Dbp5"
????? ????,????? ?????? ?? ???????? ??????: ?????? ???????? ??? ?????? ???? ??????,Bar Ilan University,2010,4,234000,Cell Biology,"Nuclear Pore Copmplex (NPC), nuclear pore assembly, Nup107-160 complex, ELYS (MEL-28), importin beta"
??? ????,?????? ????? ??? ATAD3A ?????? ??????????? ?????? ?????? ?????,Hadassah Hospital,2017,4,280000,Medicine - Genetics,"personalized medicine, ATAD3A, mitochondrial dynamics, mitochondrial biogenesis, copy number variants, drug repurposing"
????? ????,??????? ?????? ?????? ???????? ?????? ????????,Hebrew University,2017,4,290000,Microbiology,"bartonella, fleas, genetic diversity, Genotypes, Variants, rodent-associated Bartonella, Bartonella elizabethae, Bartonella tribocorum, Bartonella henselae, vector-borne, rodents."
????? ????,"???? ???????-?????-????? - ???? ?????, ?????? ???????? ?? ????? ?????? ?????? ?? ??????",Hebrew University,2011,4,156000,Microbiology,"vertical transmission, bartonella, fleas, wild rodents, jirds, flea gut-void."
???? ??????,??? ?????? ????? ?????? ????? ??? ?-B ???? ??????? ?????????? ?????? ????? ????? ???????? ?????  ,Tel Aviv Sourasky Medical Center,2019,4,290000,Medicine - Cancer & Oncology,"cytoskeleton, CLL, b-cell receptor, anergy"
??? ???,"?????? ???????? ?? ?????? p53 ???""?: ???? ?? ????? ???????? ?????? ?? ???? ????? ???""? ?? ?? ????????? ???????",Technion,2014,5,350000,Biochemistry,"Next-generation sequencing, p53 tumor suppressor protein, SELEX-seq, p53-DNA interactions, protein-DNA recognition, p53 DNA binding sites, p53 response elements, sequence-dependent DNA structure, DNA flexibility, DNA torsional flexibility, DNA binding affinity, DNA binding stability, kinetic off rate, DNA dissociation kinetics, electrophoretic-mobility-shift assay, EMSA, transactivation level, cyclization kinetics of DNA minicircles, indirect readout, shape recognition."
??? ???,????? ?????? ?????? ?????? ?????? ??? ????? ?? DNA ???????? ?? ?????? p53  ?? ???? ????? ???,Technion,2005,4,220000,Biochemistry,"x-ray crystallography, protein-dna interactions, p53-DNA interactions, sequence-dependent DNA structure, sequence-dependent DNA deformability, gel electrophoresis, cyclization kinetics of minicircles"
?????? ?????-???,????????? ???????????? ?? D-serine ??????????? ????? ??????,Hertzog Hospital,2008,3,140000,Medicine - Neurological & Psychiatry,"D-serine, schizophrenia, TREATMENT-RESISTANCE, NMDAR"
???? ????-???,????? ?????? ?? ?????? HEAT SHOCK PROTEIN 70 ?????? ???? ????? ???? ??? ???? ?????? ???? ????? ???,Hebrew University,2017,4,300000,Plant Science,"abiotic stress, abiotic stress, Hsp70, Plant adaptation, HEAT SHOCK PROTEIN 70, Plant cell wall, Root morphogenesis under stress conditions, FEI receptor-like kinases, SALT OVERLY SENSITIVE 5."
??? ???,???? ????? ?''? {HNF-4 {alpha,Hebrew University,2005,4,220000,Medicine - basic research,"diabetes, fatty acids, nuclear receptors, HNF-4alpha, hyperlipidemia, hypolipidemic drugs"
???? ???,?????? ?? ????????? ???????????? ?? ?????? ???????? ?????? ?? ???? ?????? ?????,Ben Gurion University,2017,4,300000,Immunology,"Vaccine, influenza, systems immunology, antigen microarrays, immune-profiling, immune-history, antibody profiling, infection."
???? ???,?????? ?? ????????? ???????????? ?? ?????? ???????? ?????? ?? ???? ?????? ?????,Ben Gurion University,2017,4,0,Immunology,"Vaccine, influenza, systems immunology, antigen microarrays, immune-profiling, immune-history, antibody profiling, infection."
???? ???,"???? ??? ?????? ???????? ????????? ???????? ???? ??????? ?? ???? ???????
",Ben Gurion University,2021,5,270000,Immunology,"viral infection, antibodies, antigen microarrays, CD8+ Lymphocytes, tcr sequencing, respiratory tract infections, immunocompetence"
???? ???,"???? ??? ?????? ???????? ????????? ???????? ???? ??????? ?? ???? ???????
",Ben Gurion University,2021,5,38000,Immunology,"viral infection, antibodies, antigen microarrays, CD8+ Lymphocytes, tcr sequencing, respiratory tract infections, immunocompetence"
??? ??? ????,?????? ??????? ?????? ?????? ?? ????? ?????? ?????????? ???????? ??????,Volcani Centre,2016,3,217000,Ecology,"dispersal, sociality, inbreeding, endosymbionts, genetic variability, fitness, mating systems, outbreeding, date stone beetle"
